seriesID,data__year,data__period,data__periodName,data__value,data__footnotes__code,data__footnotes__text,data__date,State,Area,Industry
SMS45000003000000001,2021,M04,April,245.0,P,Preliminary,"April, 2021",South Carolina,Statewide,Manufacturing
,2021,M03,March,247.5,,,"March, 2021",,,
,2021,M02,February,245.6,,,"February, 2021",,,
,2021,M01,January,246.0,,,"January, 2021",,,
,2020,M12,December,247.6,,,"December, 2020",,,
,2020,M11,November,246.1,,,"November, 2020",,,
,2020,M10,October,245.5,,,"October, 2020",,,
,2020,M09,September,244.0,,,"September, 2020",,,
,2020,M08,August,242.2,,,"August, 2020",,,
,2020,M07,July,239.7,,,"July, 2020",,,
,2020,M06,June,240.6,,,"June, 2020",,,
,2020,M05,May,229.2,,,"May, 2020",,,
,2020,M04,April,224.6,,,"April, 2020",,,
,2020,M03,March,256.5,,,"March, 2020",,,
,2020,M02,February,257.0,,,"February, 2020",,,
,2020,M01,January,257.5,,,"January, 2020",,,
,2019,M12,December,258.1,,,"December, 2019",,,
,2019,M11,November,258.4,,,"November, 2019",,,
,2019,M10,October,258.8,,,"October, 2019",,,
,2019,M09,September,259.0,,,"September, 2019",,,
,2019,M08,August,259.4,,,"August, 2019",,,
,2019,M07,July,259.2,,,"July, 2019",,,
,2019,M06,June,259.0,,,"June, 2019",,,
,2019,M05,May,258.5,,,"May, 2019",,,
,2019,M04,April,258.4,,,"April, 2019",,,
,2019,M03,March,257.6,,,"March, 2019",,,
,2019,M02,February,256.5,,,"February, 2019",,,
,2019,M01,January,256.2,,,"January, 2019",,,
,2018,M12,December,255.2,,,"December, 2018",,,
,2018,M11,November,254.2,,,"November, 2018",,,
,2018,M10,October,253.9,,,"October, 2018",,,
,2018,M09,September,251.4,,,"September, 2018",,,
,2018,M08,August,250.6,,,"August, 2018",,,
,2018,M07,July,250.3,,,"July, 2018",,,
,2018,M06,June,250.3,,,"June, 2018",,,
,2018,M05,May,248.8,,,"May, 2018",,,
,2018,M04,April,247.7,,,"April, 2018",,,
,2018,M03,March,246.2,,,"March, 2018",,,
,2018,M02,February,245.7,,,"February, 2018",,,
,2018,M01,January,244.5,,,"January, 2018",,,
SMU13122603000000001,2021,M04,April,23.1,P,Preliminary,"April, 2021",Georgia,"Augusta-Richmond County, GA-SC",Manufacturing
,2021,M03,March,23.4,,,"March, 2021",,,
,2021,M02,February,23.2,,,"February, 2021",,,
,2021,M01,January,23.2,,,"January, 2021",,,
,2020,M12,December,23.4,,,"December, 2020",,,
,2020,M11,November,23.2,,,"November, 2020",,,
,2020,M10,October,23.1,,,"October, 2020",,,
,2020,M09,September,22.9,,,"September, 2020",,,
,2020,M08,August,21.5,,,"August, 2020",,,
,2020,M07,July,21.7,,,"July, 2020",,,
,2020,M06,June,22.4,,,"June, 2020",,,
,2020,M05,May,20.4,,,"May, 2020",,,
,2020,M04,April,20.1,,,"April, 2020",,,
,2020,M03,March,23.7,,,"March, 2020",,,
,2020,M02,February,23.7,,,"February, 2020",,,
,2020,M01,January,23.6,,,"January, 2020",,,
